OBJECT_ID,TOP_TRAFFIC_ACCIDENT_OFFENSE,DRIVER_ACTION
71352,ACCIDENT,CARELESS DRIVING
90984,ACCIDENT,CARELESS DRIVING
71353,ACCIDENT,FAILED TO YIELD ROW
71354,HIT & RUN,  
90825,ACCIDENT,EXCEED SAFE/POSTED SPEED
71355,ACCIDENT,EXCEED SAFE/POSTED SPEED
71356,ACCIDENT,CARELESS DRIVING
71357,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
71360,ACCIDENT,CARELESS DRIVING
71359,ACCIDENT,EXCEED SAFE/POSTED SPEED
71361,ACCIDENT,CARELESS DRIVING
71362,HIT & RUN,CARELESS DRIVING
71364,HIT & RUN,EXCEED SAFE/POSTED SPEED
71363,HIT & RUN,CARELESS DRIVING
71365,ACCIDENT,EXCEED SAFE/POSTED SPEED
71366,ACCIDENT,OTHER
90827,ACCIDENT,EXCEED SAFE/POSTED SPEED
71369,HIT & RUN,FOLLOWED TOO CLOSELY
71370,HIT & RUN,CARELESS DRIVING
71371,ACCIDENT,IMPROPER BACKING
71372,ACCIDENT,EXCEED SAFE/POSTED SPEED
90828,ACCIDENT,EXCEED SAFE/POSTED SPEED
71351,ACCIDENT,EXCEED SAFE/POSTED SPEED
71373,ACCIDENT,FAILED TO YIELD ROW
71374,ACCIDENT,FOLLOWED TOO CLOSELY
71375,ACCIDENT,EXCEED SAFE/POSTED SPEED
90985,ACCIDENT,  
71376,POLICE,EXCEED SAFE/POSTED SPEED
90829,ACCIDENT,OTHER
71377,ACCIDENT,EXCEED SAFE/POSTED SPEED
71457,ACCIDENT,EXCEED SAFE/POSTED SPEED
71456,ACCIDENT,EXCEED SAFE/POSTED SPEED
71458,ACCIDENT,DISREGARD STOP SIGN
71459,ACCIDENT,IMPROPER BACKING
90842,HIT & RUN,IMPROPER BACKING
71460,ACCIDENT,IMPROPER TURN
71461,ACCIDENT,CARELESS DRIVING
71462,HIT & RUN,EXCEED SAFE/POSTED SPEED
71463,ACCIDENT,FOLLOWED TOO CLOSELY
71464,POLICE,OTHER
71465,ACCIDENT,FAILED TO STOP AT SIGNAL
90839,ACCIDENT,EXCEED SAFE/POSTED SPEED
71466,ACCIDENT,EXCEED SAFE/POSTED SPEED
71725,HIT & RUN,CARELESS DRIVING
71467,DUI/DUID,CARELESS DRIVING
71468,ACCIDENT,EXCEED SAFE/POSTED SPEED
122222,ACCIDENT,  
71469,ACCIDENT,FAILED TO YIELD ROW
71470,ACCIDENT,CARELESS DRIVING
90840,ACCIDENT,FAILED TO STOP AT SIGNAL
71471,ACCIDENT,EXCEED SAFE/POSTED SPEED
71473,HIT & RUN,EXCEED SAFE/POSTED SPEED
71474,SBI,CARELESS DRIVING
71475,HIT & RUN,OTHER
71476,DUI/DUID,CARELESS DRIVING
90841,HIT & RUN,DISREGARDED OTHER DEVICE
71478,ACCIDENT,CARELESS DRIVING
71479,ACCIDENT,EXCEED SAFE/POSTED SPEED
71480,ACCIDENT,CARELESS DRIVING
71481,HIT & RUN,LANE VIOLATION
90986,ACCIDENT,CARELESS DRIVING
69912,ACCIDENT,EXCEED SAFE/POSTED SPEED
69914,ACCIDENT,FAILED TO STOP AT SIGNAL
69915,ACCIDENT,OTHER
69917,HIT & RUN,CARELESS DRIVING
69918,ACCIDENT,EXCEED SAFE/POSTED SPEED
69919,ACCIDENT,EXCEED SAFE/POSTED SPEED
69916,ACCIDENT,EXCEED SAFE/POSTED SPEED
69920,ACCIDENT,FAILED TO YIELD ROW
91514,ACCIDENT,EXCEED SAFE/POSTED SPEED
69921,ACCIDENT,EXCEED SAFE/POSTED SPEED
69922,ACCIDENT,FAILED TO YIELD ROW
69925,ACCIDENT,EXCEED SAFE/POSTED SPEED
69923,ACCIDENT,FOLLOWED TOO CLOSELY
69924,ACCIDENT,EXCEED SAFE/POSTED SPEED
91515,ACCIDENT,FAILED TO YIELD ROW
95636,ACCIDENT,FAILED TO YIELD ROW
69926,ACCIDENT,IMPROPER TURN
69928,ACCIDENT,OTHER
91516,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
69929,ACCIDENT,DISREGARD STOP SIGN
69931,ACCIDENT,EXCEED SAFE/POSTED SPEED
69932,ACCIDENT,FOLLOWED TOO CLOSELY
69933,DUI/DUID,CARELESS DRIVING
69934,HIT & RUN,CARELESS DRIVING
91517,HIT & RUN,LANE VIOLATION
69935,ACCIDENT,FAILED TO YIELD ROW
69936,ACCIDENT,CARELESS DRIVING
69938,HIT & RUN,  
69937,ACCIDENT,CARELESS DRIVING
70016,SBI,OTHER
70017,HIT & RUN,  
70018,ACCIDENT,CARELESS DRIVING
91528,ACCIDENT,EXCEED SAFE/POSTED SPEED
90987,ACCIDENT,  
70019,HIT & RUN,EXCEED SAFE/POSTED SPEED
70020,ACCIDENT,OTHER
70021,DUI/DUID,CARELESS DRIVING
70022,HIT & RUN,RECKLESS DRIVING
91529,ACCIDENT,LANE VIOLATION
70023,ACCIDENT,FAILED TO STOP AT SIGNAL
70024,ACCIDENT,FAILED TO YIELD ROW
70026,ACCIDENT,IMPROPER TURN
70025,ACCIDENT,EXCEED SAFE/POSTED SPEED
70029,HIT & RUN,EXCEED SAFE/POSTED SPEED
91530,ACCIDENT,DISREGARD STOP SIGN
70028,ACCIDENT,FOLLOWED TOO CLOSELY
70030,ACCIDENT,EXCEED SAFE/POSTED SPEED
70031,ACCIDENT,FAILED TO YIELD ROW
70032,ACCIDENT,EXCEED SAFE/POSTED SPEED
91531,ACCIDENT,FAILED TO STOP AT SIGNAL
70033,ACCIDENT,FOLLOWED TOO CLOSELY
70034,ACCIDENT,CARELESS DRIVING
70035,ACCIDENT,FAILED TO YIELD ROW
70036,ACCIDENT,FAILED TO STOP AT SIGNAL
70041,ACCIDENT,CARELESS DRIVING
70037,ACCIDENT,LANE VIOLATION
91612,ACCIDENT,LANE VIOLATION
70038,HIT & RUN,CARELESS DRIVING
70039,ACCIDENT,  
70040,ACCIDENT,CARELESS DRIVING
70042,ACCIDENT,LANE VIOLATION
70122,HIT & RUN,CARELESS DRIVING
70123,ACCIDENT,DISREGARD STOP SIGN
70125,ACCIDENT,FOLLOWED TOO CLOSELY
70126,ACCIDENT,FOLLOWED TOO CLOSELY
70127,ACCIDENT,FAILED TO YIELD ROW
91625,ACCIDENT,CARELESS DRIVING
70129,DUI/DUID,CARELESS DRIVING
70128,DUI/DUID,FOLLOWED TOO CLOSELY
70130,ACCIDENT,OTHER
91626,ACCIDENT,IMPROPER BACKING
70131,ACCIDENT,FAILED TO YIELD ROW
70132,ACCIDENT,FOLLOWED TOO CLOSELY
70134,ACCIDENT,FOLLOWED TOO CLOSELY
70135,ACCIDENT,FOLLOWED TOO CLOSELY
70136,HIT & RUN,FOLLOWED TOO CLOSELY
70228,ACCIDENT,CARELESS DRIVING
70137,ACCIDENT,FOLLOWED TOO CLOSELY
70138,ACCIDENT,CARELESS DRIVING
91627,HIT & RUN,LANE VIOLATION
70139,ACCIDENT,CARELESS DRIVING
70147,HIT & RUN,  
70141,HIT & RUN,  
70142,ACCIDENT,FOLLOWED TOO CLOSELY
91628,ACCIDENT,FAILED TO YIELD ROW
70143,ACCIDENT,FAILED TO YIELD ROW
70144,ACCIDENT,FOLLOWED TOO CLOSELY
70145,ACCIDENT,FAILED TO YIELD ROW
91629,ACCIDENT,DISREGARD STOP SIGN
70148,ACCIDENT,FAILED TO STOP AT SIGNAL
70149,ACCIDENT,FOLLOWED TOO CLOSELY
90543,HIT & RUN,OTHER
70227,HIT & RUN,CARELESS DRIVING
70146,ACCIDENT,  
70229,ACCIDENT,FOLLOWED TOO CLOSELY
70230,HIT & RUN,  
91720,ACCIDENT,FOLLOWED TOO CLOSELY
70232,ACCIDENT,LANE VIOLATION
90988,ACCIDENT,CARELESS DRIVING
94420,ACCIDENT,CARELESS DRIVING
70233,ACCIDENT,FAILED TO YIELD ROW
70234,ACCIDENT,CARELESS DRIVING
70235,HIT & RUN,IMPROPER TURN
70332,HIT & RUN,EXCEED SAFE/POSTED SPEED
70236,ACCIDENT,CARELESS DRIVING
91721,ACCIDENT,CARELESS DRIVING
70237,ACCIDENT,EXCEED SAFE/POSTED SPEED
70238,ACCIDENT,CARELESS DRIVING
70239,ACCIDENT,FOLLOWED TOO CLOSELY
70240,ACCIDENT,LANE VIOLATION
91722,ACCIDENT,CARELESS DRIVING
70242,ACCIDENT,FOLLOWED TOO CLOSELY
70243,HIT & RUN,OTHER
70244,ACCIDENT,IMPROPER TURN
70246,ACCIDENT,LANE VIOLATION
70248,POLICE,OTHER
70247,ACCIDENT,FOLLOWED TOO CLOSELY
70250,ACCIDENT,EXCEED SAFE/POSTED SPEED
70254,HIT & RUN,  
70249,ACCIDENT,EXCEED SAFE/POSTED SPEED
91724,ACCIDENT,OTHER
