OBJECT_ID,TOP_TRAFFIC_ACCIDENT_OFFENSE,DRIVER_ACTION
77922,ACCIDENT,LANE VIOLATION
77923,HIT & RUN,IMPROPER BACKING
77925,ACCIDENT,IMPROPER TURN
92149,ACCIDENT,FOLLOWED TOO CLOSELY
77926,ACCIDENT,FOLLOWED TOO CLOSELY
77927,ACCIDENT,OTHER
77928,ACCIDENT,FOLLOWED TOO CLOSELY
77929,POLICE,IMPROPER BACKING
77930,ACCIDENT,CARELESS DRIVING
92150,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
78012,ACCIDENT,OTHER
78013,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
78014,ACCIDENT,CARELESS DRIVING
78015,ACCIDENT,LANE VIOLATION
78016,ACCIDENT,LANE VIOLATION
92236,ACCIDENT,FAILED TO YIELD ROW
78017,ACCIDENT,LANE VIOLATION
78018,ACCIDENT,FOLLOWED TOO CLOSELY
78026,HIT & RUN,LANE VIOLATION
78019,ACCIDENT,FAILED TO YIELD ROW
78020,ACCIDENT,FAILED TO YIELD ROW
78021,ACCIDENT,CARELESS DRIVING
92237,ACCIDENT,FAILED TO YIELD ROW
78022,ACCIDENT,CARELESS DRIVING
78023,ACCIDENT,OTHER
78024,ACCIDENT,FOLLOWED TOO CLOSELY
78025,POLICE,LANE VIOLATION
78027,ACCIDENT,OTHER
92238,ACCIDENT,FAILED TO YIELD ROW
78028,HIT & RUN,CARELESS DRIVING
78029,HIT & RUN,LANE VIOLATION
78030,ACCIDENT,LANE VIOLATION
78031,ACCIDENT,FOLLOWED TOO CLOSELY
78032,ACCIDENT,FOLLOWED TOO CLOSELY
92239,ACCIDENT,FAILED TO STOP AT SIGNAL
78033,ACCIDENT,OTHER
78034,ACCIDENT,FAILED TO STOP AT SIGNAL
78035,HIT & RUN,CARELESS DRIVING
78036,ACCIDENT,CARELESS DRIVING
78037,ACCIDENT,FOLLOWED TOO CLOSELY
78122,HIT & RUN,FAILED TO YIELD ROW
92240,ACCIDENT,FAILED TO STOP AT SIGNAL
78120,ACCIDENT,  
78121,ACCIDENT,FOLLOWED TOO CLOSELY
78125,ACCIDENT,OTHER
78123,ACCIDENT,FAILED TO YIELD ROW
78124,ACCIDENT,FOLLOWED TOO CLOSELY
92327,ACCIDENT,FOLLOWED TOO CLOSELY
92422,HIT & RUN,IMPROPER BACKING
78127,ACCIDENT,FOLLOWED TOO CLOSELY
78128,HIT & RUN,CARELESS DRIVING
78129,ACCIDENT,CARELESS DRIVING
78130,ACCIDENT,FOLLOWED TOO CLOSELY
92328,ACCIDENT,LANE VIOLATION
78131,HIT & RUN,OTHER
78132,HIT & RUN,FAILED TO STOP AT SIGNAL
78133,ACCIDENT,FAILED TO STOP AT SIGNAL
78134,HIT & RUN,IMPROPER BACKING
92329,HIT & RUN,LANE VIOLATION
78135,ACCIDENT,OTHER
78136,ACCIDENT,CARELESS DRIVING
78137,HIT & RUN,CARELESS DRIVING
78138,ACCIDENT,FAILED TO STOP AT SIGNAL
78139,ACCIDENT,IMPROPER BACKING
79551,ACCIDENT,IMPROPER BACKING
92330,HIT & RUN,CARELESS DRIVING
78140,ACCIDENT,FOLLOWED TOO CLOSELY
78142,ACCIDENT,CARELESS DRIVING
78141,ACCIDENT,FAILED TO YIELD ROW
78143,HIT & RUN,CARELESS DRIVING
78144,ACCIDENT,FOLLOWED TOO CLOSELY
78145,ACCIDENT,FOLLOWED TOO CLOSELY
78146,ACCIDENT,FOLLOWED TOO CLOSELY
92331,ACCIDENT,FAILED TO YIELD ROW
78228,ACCIDENT,DISREGARD STOP SIGN
78229,ACCIDENT,FOLLOWED TOO CLOSELY
78230,ACCIDENT,FAILED TO YIELD ROW
78232,ACCIDENT,FAILED TO YIELD ROW
92418,ACCIDENT,FAILED TO YIELD ROW
78233,ACCIDENT,FOLLOWED TOO CLOSELY
78234,ACCIDENT,CARELESS DRIVING
78235,ACCIDENT,IMPROPER BACKING
78236,ACCIDENT,FOLLOWED TOO CLOSELY
78237,ACCIDENT,FOLLOWED TOO CLOSELY
92419,ACCIDENT,CARELESS DRIVING
78238,ACCIDENT,FOLLOWED TOO CLOSELY
78239,SBI,FAILED TO YIELD ROW
78240,ACCIDENT,FAILED TO STOP AT SIGNAL
78241,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
92420,ACCIDENT,  
78242,ACCIDENT,CARELESS DRIVING
78243,ACCIDENT,OTHER
78244,ACCIDENT,CARELESS DRIVING
96449,HIT & RUN,IMPROPER BACKING
78245,ACCIDENT,FOLLOWED TOO CLOSELY
78246,SBI,RECKLESS DRIVING
92421,ACCIDENT,FAILED TO STOP AT SIGNAL
78247,ACCIDENT,  
78248,ACCIDENT,  
78249,ACCIDENT,OTHER
78250,HIT & RUN,  
78251,HIT & RUN,CARELESS DRIVING
76632,HIT & RUN,CARELESS DRIVING
78253,HIT & RUN,DISREGARDED OTHER DEVICE
78254,ACCIDENT,OTHER
96154,ACCIDENT,FOLLOWED TOO CLOSELY
76633,ACCIDENT,FAILED TO YIELD ROW
76634,ACCIDENT,FAILED TO YIELD ROW
92683,ACCIDENT,FOLLOWED TOO CLOSELY
76635,ACCIDENT,LANE VIOLATION
76637,ACCIDENT,OTHER
76636,ACCIDENT,DISREGARD STOP SIGN
76969,HIT & RUN,LANE VIOLATION
76638,HIT & RUN,OTHER
92684,HIT & RUN,CARELESS DRIVING
76639,HIT & RUN,  
76640,ACCIDENT,LANE VIOLATION
76642,ACCIDENT,FAILED TO YIELD ROW
76641,ACCIDENT,FAILED TO YIELD ROW
76643,HIT & RUN,LANE VIOLATION
76644,ACCIDENT,  
92685,ACCIDENT,FOLLOWED TOO CLOSELY
76645,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
76646,ACCIDENT,FAILED TO YIELD ROW
76647,ACCIDENT,OTHER
76648,HIT & RUN,CARELESS DRIVING
76649,HIT & RUN,CARELESS DRIVING
92686,HIT & RUN,CARELESS DRIVING
76650,ACCIDENT,LANE VIOLATION
76651,HIT & RUN,CARELESS DRIVING
76653,ACCIDENT,FOLLOWED TOO CLOSELY
76652,ACCIDENT,FOLLOWED TOO CLOSELY
76654,ACCIDENT,CARELESS DRIVING
92687,ACCIDENT,LANE VIOLATION
76655,ACCIDENT,FAILED TO YIELD ROW
76656,ACCIDENT,LANE VIOLATION
76657,HIT & RUN,CARELESS DRIVING
76739,ACCIDENT,FAILED TO YIELD ROW
76740,HIT & RUN,CARELESS DRIVING
76741,ACCIDENT,CARELESS DRIVING
76742,ACCIDENT,CARELESS DRIVING
92775,ACCIDENT,FAILED TO YIELD ROW
76744,ACCIDENT,CARELESS DRIVING
76753,HIT & RUN,CARELESS DRIVING
76743,ACCIDENT,FOLLOWED TOO CLOSELY
76745,SBI,CARELESS DRIVING
76747,ACCIDENT,FOLLOWED TOO CLOSELY
76750,ACCIDENT,  
92776,HIT & RUN,CARELESS DRIVING
76752,HIT & RUN,  
76748,ACCIDENT,FAILED TO YIELD ROW
76749,ACCIDENT,OTHER
76751,ACCIDENT,FAILED TO YIELD ROW
92777,HIT & RUN,CARELESS DRIVING
94044,ACCIDENT,LANE VIOLATION
76754,HIT & RUN,CARELESS DRIVING
76756,ACCIDENT,FAILED TO YIELD ROW
76757,HIT & RUN,OTHER
92778,ACCIDENT,FOLLOWED TOO CLOSELY
96155,ACCIDENT,IMPROPER TURN
76760,ACCIDENT,OTHER
76759,ACCIDENT,FAILED TO STOP AT SIGNAL
76762,ACCIDENT,CARELESS DRIVING
76763,POLICE,TURNED FROM WRONG LANE OR POSITION
92779,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
76764,ACCIDENT,FOLLOWED TOO CLOSELY
76765,ACCIDENT,FAILED TO YIELD ROW
76849,ACCIDENT,FAILED TO YIELD ROW
76850,ACCIDENT,OTHER
76971,HIT & RUN,IMPROPER BACKING
76851,ACCIDENT,FOLLOWED TOO CLOSELY
76852,ACCIDENT,FOLLOWED TOO CLOSELY
76853,ACCIDENT,CARELESS DRIVING
76855,ACCIDENT,CARELESS DRIVING
76856,ACCIDENT,CARELESS DRIVING
76857,ACCIDENT,FAILED TO YIELD ROW
92867,ACCIDENT,FAILED TO YIELD ROW
76858,ACCIDENT,CARELESS DRIVING
76859,ACCIDENT,CARELESS DRIVING
76862,ACCIDENT,FOLLOWED TOO CLOSELY
76861,ACCIDENT,FOLLOWED TOO CLOSELY
76860,ACCIDENT,FOLLOWED TOO CLOSELY
76863,ACCIDENT,DISREGARD STOP SIGN
92868,ACCIDENT,FOLLOWED TOO CLOSELY
91380,ACCIDENT,FAILED TO YIELD ROW
76865,SBI,FAILED TO YIELD ROW
76864,ACCIDENT,LANE VIOLATION
76866,ACCIDENT,FOLLOWED TOO CLOSELY
76867,ACCIDENT,CARELESS DRIVING
76868,ACCIDENT,FAILED TO YIELD ROW
76869,ACCIDENT,LANE VIOLATION
92869,ACCIDENT,FOLLOWED TOO CLOSELY
76870,ACCIDENT,FAILED TO YIELD ROW
76961,ACCIDENT,FAILED TO STOP AT SIGNAL
76872,ACCIDENT,FAILED TO YIELD ROW
76873,ACCIDENT,OTHER
76874,HIT & RUN,LANE VIOLATION
76957,HIT & RUN,  
92870,ACCIDENT,EXCEED SAFE/POSTED SPEED
76875,ACCIDENT,IMPROPER TURN
76959,HIT & RUN,CARELESS DRIVING
76958,ACCIDENT,FOLLOWED TOO CLOSELY
92958,ACCIDENT,CARELESS DRIVING
76960,ACCIDENT,FOLLOWED TOO CLOSELY
76981,HIT & RUN,  
76963,ACCIDENT,FOLLOWED TOO CLOSELY
76962,ACCIDENT,LANE VIOLATION
76964,HIT & RUN,CARELESS DRIVING
92959,HIT & RUN,  
76965,HIT & RUN,  
96450,HIT & RUN,TURNED FROM WRONG LANE OR POSITION
76966,HIT & RUN,LANE VIOLATION
76968,ACCIDENT,FOLLOWED TOO CLOSELY
92960,ACCIDENT,CARELESS DRIVING
76970,SBI,FAILED TO YIELD ROW
76972,ACCIDENT,FAILED TO STOP AT SIGNAL
92961,ACCIDENT,OTHER
77284,ACCIDENT,CARELESS DRIVING
76974,ACCIDENT,FOLLOWED TOO CLOSELY
76975,ACCIDENT,LANE VIOLATION
76976,ACCIDENT,FOLLOWED TOO CLOSELY
76978,ACCIDENT,FOLLOWED TOO CLOSELY
76977,ACCIDENT,CARELESS DRIVING
92962,HIT & RUN,CARELESS DRIVING
76979,ACCIDENT,CARELESS DRIVING
76980,ACCIDENT,FOLLOWED TOO CLOSELY
76982,HIT & RUN,CARELESS DRIVING
76983,ACCIDENT,FAILED TO YIELD ROW
77280,ACCIDENT,FOLLOWED TOO CLOSELY
77281,SBI,CARELESS DRIVING
77285,HIT & RUN,CARELESS DRIVING
77283,ACCIDENT,FOLLOWED TOO CLOSELY
93162,ACCIDENT,FAILED TO YIELD ROW
77286,ACCIDENT,FOLLOWED TOO CLOSELY
77288,ACCIDENT,LANE VIOLATION
77287,ACCIDENT,  
77289,ACCIDENT,IMPROPER BACKING
93163,HIT & RUN,CARELESS DRIVING
77290,ACCIDENT,CARELESS DRIVING
77292,HIT & RUN,OTHER IMPROPER TURNS
77293,ACCIDENT,LANE VIOLATION
93164,ACCIDENT,OTHER
77295,HIT & RUN,OTHER
77296,ACCIDENT,FAILED TO YIELD ROW
77297,ACCIDENT,FOLLOWED TOO CLOSELY
77514,HIT & RUN,CARELESS DRIVING
77298,ACCIDENT,FAILED TO YIELD ROW
77299,ACCIDENT,FOLLOWED TOO CLOSELY
77300,ACCIDENT,FOLLOWED TOO CLOSELY
93235,ACCIDENT,FAILED TO YIELD ROW
77301,SBI,OTHER
77302,ACCIDENT,IMPROPER TURN
91382,ACCIDENT,CARELESS DRIVING
77303,ACCIDENT,FAILED TO STOP AT SIGNAL
96452,ACCIDENT,LANE VIOLATION
77304,ACCIDENT,FAILED TO YIELD ROW
93236,ACCIDENT,LANE VIOLATION
77306,HIT & RUN,CARELESS DRIVING
77305,ACCIDENT,FAILED TO YIELD ROW
77605,ACCIDENT,FAILED TO YIELD ROW
77606,ACCIDENT,FOLLOWED TOO CLOSELY
77607,HIT & RUN,  
77610,HIT & RUN,FOLLOWED TOO CLOSELY
77608,HIT & RUN,RECKLESS DRIVING
77611,ACCIDENT,  
91952,ACCIDENT,FOLLOWED TOO CLOSELY
77609,ACCIDENT,FOLLOWED TOO CLOSELY
77612,HIT & RUN,CARELESS DRIVING
77613,ACCIDENT,IMPROPER BACKING
77614,HIT & RUN,IMPROPER PASSING ON LEFT
91953,HIT & RUN,CARELESS DRIVING
77617,HIT & RUN,IMPROPER BACKING
77616,ACCIDENT,LANE VIOLATION
77618,HIT & RUN,CARELESS DRIVING
77620,ACCIDENT,FOLLOWED TOO CLOSELY
77619,HIT & RUN,CARELESS DRIVING
91954,ACCIDENT,FAILED TO YIELD ROW
77622,HIT & RUN,CARELESS DRIVING
77623,POLICE,IMPROPER BACKING
77624,DUI/DUID,CARELESS DRIVING
77625,ACCIDENT,FAILED TO YIELD ROW
77629,HIT & RUN,  
91955,ACCIDENT,CARELESS DRIVING
77626,ACCIDENT,FOLLOWED TOO CLOSELY
77627,ACCIDENT,FOLLOWED TOO CLOSELY
77628,ACCIDENT,FAILED TO STOP AT SIGNAL
77630,ACCIDENT,FAILED TO YIELD ROW
91956,ACCIDENT,DISREGARD STOP SIGN
77631,ACCIDENT,OTHER
78487,HIT & RUN,  
77632,ACCIDENT,CARELESS DRIVING
77064,ACCIDENT,LANE VIOLATION
93051,ACCIDENT,OTHER
77066,HIT & RUN,IMPROPER BACKING
77065,ACCIDENT,FOLLOWED TOO CLOSELY
77068,HIT & RUN,FOLLOWED TOO CLOSELY
77067,HIT & RUN,LANE VIOLATION
93052,ACCIDENT,FOLLOWED TOO CLOSELY
77069,ACCIDENT,FOLLOWED TOO CLOSELY
77076,HIT & RUN,  
77070,ACCIDENT,LANE VIOLATION
77071,ACCIDENT,FOLLOWED TOO CLOSELY
77412,HIT & RUN,IMPROPER BACKING
77072,ACCIDENT,OTHER
77073,HIT & RUN,CARELESS DRIVING
91384,ACCIDENT,CARELESS DRIVING
93053,HIT & RUN,OTHER
77074,ACCIDENT,CARELESS DRIVING
77075,HIT & RUN,FOLLOWED TOO CLOSELY
77077,ACCIDENT,FOLLOWED TOO CLOSELY
96453,HIT & RUN,IMPROPER PASSING ON LEFT
77078,ACCIDENT,RECKLESS DRIVING
77079,ACCIDENT,FAILED TO YIELD ROW
93054,ACCIDENT,FAILED TO YIELD ROW
77080,DUI/DUID,CARELESS DRIVING
77084,HIT & RUN,IMPROPER BACKING
77081,ACCIDENT,LANE VIOLATION
77082,ACCIDENT,IMPROPER BACKING
93055,ACCIDENT,DISREGARD STOP SIGN
94045,HIT & RUN,DISREGARDED OTHER DEVICE
77083,ACCIDENT,OTHER
77085,HIT & RUN,FAILED TO YIELD ROW
77086,HIT & RUN,CARELESS DRIVING
77087,ACCIDENT,FOLLOWED TOO CLOSELY
78377,ACCIDENT,FOLLOWED TOO CLOSELY
77088,ACCIDENT,FOLLOWED TOO CLOSELY
77089,ACCIDENT,CARELESS DRIVING
77090,ACCIDENT,CARELESS DRIVING
77387,HIT & RUN,OTHER
77388,ACCIDENT,OTHER
77185,HIT & RUN,IMPROPER BACKING
77389,HIT & RUN,CARELESS DRIVING
93254,ACCIDENT,OTHER
77390,HIT & RUN,LANE VIOLATION
77392,ACCIDENT,OTHER
77391,ACCIDENT,FOLLOWED TOO CLOSELY
77393,ACCIDENT,IMPROPER TURN
77394,ACCIDENT,CARELESS DRIVING
93255,HIT & RUN,  
77395,HIT & RUN,CARELESS DRIVING
77396,HIT & RUN,RECKLESS DRIVING
77397,DUI/DUID,CARELESS DRIVING
93256,HIT & RUN,CARELESS DRIVING
77399,ACCIDENT,CARELESS DRIVING
77398,ACCIDENT,FAILED TO STOP AT SIGNAL
77400,HIT & RUN,CARELESS DRIVING
77401,HIT & RUN,IMPROPER BACKING
77402,HIT & RUN,LANE VIOLATION
77403,DUI/DUID,  
93257,ACCIDENT,FAILED TO STOP AT SIGNAL
77404,ACCIDENT,OTHER
77405,ACCIDENT,LANE VIOLATION
77406,ACCIDENT,CARELESS DRIVING
77407,ACCIDENT,OTHER
77408,SBI,CARELESS DRIVING
93258,HIT & RUN,LANE VIOLATION
77409,ACCIDENT,LANE VIOLATION
77410,ACCIDENT,CARELESS DRIVING
77411,ACCIDENT,FAILED TO YIELD ROW
77413,ACCIDENT,FOLLOWED TOO CLOSELY
91842,ACCIDENT,IMPROPER BACKING
77414,ACCIDENT,OTHER
77172,ACCIDENT,CARELESS DRIVING
77173,ACCIDENT,LANE VIOLATION
77174,ACCIDENT,FOLLOWED TOO CLOSELY
77175,HIT & RUN,DISREGARD STOP SIGN
93142,ACCIDENT,FAILED TO YIELD ROW
77176,ACCIDENT,CARELESS DRIVING
77177,HIT & RUN,OTHER
77178,HIT & RUN,CARELESS DRIVING
77179,ACCIDENT,LANE VIOLATION
93143,POLICE,CARELESS DRIVING
77181,ACCIDENT,FOLLOWED TOO CLOSELY
77182,ACCIDENT,CARELESS DRIVING
77183,ACCIDENT,IMPROPER BACKING
77186,ACCIDENT,LANE VIOLATION
93144,ACCIDENT,OTHER IMPROPER TURNS
77187,ACCIDENT,OTHER
77188,ACCIDENT,FOLLOWED TOO CLOSELY
79420,HIT & RUN,CARELESS DRIVING
77189,HIT & RUN,FAILED TO STOP AT SIGNAL
96454,HIT & RUN,FAILED TO STOP AT SIGNAL
77190,DUI/DUID,LANE VIOLATION
93145,HIT & RUN,CARELESS DRIVING
77191,HIT & RUN,CARELESS DRIVING
91385,ACCIDENT,FOLLOWED TOO CLOSELY
77192,HIT & RUN,CARELESS DRIVING
93277,HIT & RUN,CARELESS DRIVING
77193,ACCIDENT,FAILED TO YIELD ROW
77194,ACCIDENT,FAILED TO YIELD ROW
93146,ACCIDENT,FOLLOWED TOO CLOSELY
77196,ACCIDENT,FOLLOWED TOO CLOSELY
77195,ACCIDENT,CARELESS DRIVING
77197,ACCIDENT,FOLLOWED TOO CLOSELY
77198,ACCIDENT,FAILED TO YIELD ROW
77495,ACCIDENT,IMPROPER TURN
77497,ACCIDENT,CARELESS DRIVING
77518,HIT & RUN,FAILED TO YIELD ROW
77504,SBI,  
77498,ACCIDENT,FOLLOWED TOO CLOSELY
77499,ACCIDENT,CARELESS DRIVING
77500,ACCIDENT,FAILED TO YIELD ROW
77501,ACCIDENT,LANE VIOLATION
77503,ACCIDENT,LANE VIOLATION
77502,ACCIDENT,OTHER
91859,ACCIDENT,FOLLOWED TOO CLOSELY
77505,ACCIDENT,FOLLOWED TOO CLOSELY
77506,ACCIDENT,LANE VIOLATION
77508,HIT & RUN,  
77507,ACCIDENT,OTHER
91860,ACCIDENT,LANE VIOLATION
77509,ACCIDENT,FOLLOWED TOO CLOSELY
77510,ACCIDENT,OTHER
77511,ACCIDENT,LANE VIOLATION
77512,HIT & RUN,  
77513,ACCIDENT,FOLLOWED TOO CLOSELY
91861,ACCIDENT,FAILED TO YIELD ROW
77515,ACCIDENT,IMPROPER TURN
77516,ACCIDENT,IMPROPER TURN
77517,ACCIDENT,FOLLOWED TOO CLOSELY
77521,HIT & RUN,  
94901,ACCIDENT,FAILED TO YIELD ROW
91862,ACCIDENT,FAILED TO YIELD ROW
93274,HIT & RUN,CARELESS DRIVING
77520,ACCIDENT,FOLLOWED TOO CLOSELY
79418,ACCIDENT,FOLLOWED TOO CLOSELY
93273,ACCIDENT,LANE VIOLATION
79419,HIT & RUN,FOLLOWED TOO CLOSELY
79421,ACCIDENT,LANE VIOLATION
79423,HIT & RUN,CARELESS DRIVING
79422,ACCIDENT,CARELESS DRIVING
79424,ACCIDENT,IMPROPER TURN
79425,ACCIDENT,FOLLOWED TOO CLOSELY
79426,POLICE,DISREGARD STOP SIGN
79427,ACCIDENT,OTHER
79428,ACCIDENT,FOLLOWED TOO CLOSELY
79429,ACCIDENT,FOLLOWED TOO CLOSELY
79746,HIT & RUN,CARELESS DRIVING
79430,ACCIDENT,LANE VIOLATION
93275,ACCIDENT,FAILED TO YIELD ROW
79431,HIT & RUN,FOLLOWED TOO CLOSELY
79432,ACCIDENT,FAILED TO YIELD ROW
79433,HIT & RUN,  
79434,ACCIDENT,FAILED TO STOP AT SIGNAL
93276,ACCIDENT,CARELESS DRIVING
79435,ACCIDENT,CARELESS DRIVING
79436,HIT & RUN,EXCEED SAFE/POSTED SPEED
79437,ACCIDENT,LANE VIOLATION
79438,ACCIDENT,FOLLOWED TOO CLOSELY
79439,ACCIDENT,FAILED TO YIELD ROW
79440,ACCIDENT,  
79441,ACCIDENT,FAILED TO YIELD ROW
79442,ACCIDENT,CARELESS DRIVING
79443,ACCIDENT,LANE VIOLATION
79444,HIT & RUN,CARELESS DRIVING
93278,HIT & RUN,CARELESS DRIVING
79526,ACCIDENT,OTHER
79527,HIT & RUN,FAILED TO YIELD ROW
79528,POLICE,FAILED TO YIELD ROW
79529,ACCIDENT,CARELESS DRIVING
79530,HIT & RUN,CARELESS DRIVING
79531,ACCIDENT,FOLLOWED TOO CLOSELY
91879,HIT & RUN,FOLLOWED TOO CLOSELY
79532,ACCIDENT,IMPROPER TURN
79533,HIT & RUN,CARELESS DRIVING
79534,ACCIDENT,FOLLOWED TOO CLOSELY
79535,ACCIDENT,FOLLOWED TOO CLOSELY
79536,ACCIDENT,CARELESS DRIVING
94902,ACCIDENT,CARELESS DRIVING
91880,ACCIDENT,FOLLOWED TOO CLOSELY
79537,ACCIDENT,FOLLOWED TOO CLOSELY
79543,ACCIDENT,OTHER
79539,ACCIDENT,OTHER
79540,ACCIDENT,OTHER
79541,ACCIDENT,IMPROPER BACKING
91881,HIT & RUN,FOLLOWED TOO CLOSELY
79542,ACCIDENT,FOLLOWED TOO CLOSELY
79545,ACCIDENT,FAILED TO STOP AT SIGNAL
79546,HIT & RUN,CARELESS DRIVING
79548,HIT & RUN,LANE VIOLATION
79547,ACCIDENT,FAILED TO YIELD ROW
79549,ACCIDENT,OTHER
79550,ACCIDENT,OTHER
91883,ACCIDENT,  
79552,ACCIDENT,FAILED TO YIELD ROW
79634,POLICE,CARELESS DRIVING
79635,ACCIDENT,IMPROPER BACKING
75556,ACCIDENT,FAILED TO YIELD ROW
79636,HIT & RUN,  
79637,HIT & RUN,IMPROPER BACKING
79638,ACCIDENT,FAILED TO STOP AT SIGNAL
91971,ACCIDENT,LANE VIOLATION
79639,ACCIDENT,CARELESS DRIVING
79640,ACCIDENT,FAILED TO YIELD ROW
79641,ACCIDENT,FOLLOWED TOO CLOSELY
79642,ACCIDENT,  
79643,ACCIDENT,FOLLOWED TOO CLOSELY
79644,ACCIDENT,FOLLOWED TOO CLOSELY
91972,ACCIDENT,FAILED TO YIELD ROW
79645,ACCIDENT,FOLLOWED TOO CLOSELY
79646,ACCIDENT,OTHER
79647,ACCIDENT,CARELESS DRIVING
79648,ACCIDENT,FOLLOWED TOO CLOSELY
80001,HIT & RUN,CARELESS DRIVING
79649,ACCIDENT,FAILED TO YIELD ROW
91973,ACCIDENT,FAILED TO YIELD ROW
79650,HIT & RUN,CARELESS DRIVING
79651,ACCIDENT,FOLLOWED TOO CLOSELY
79652,ACCIDENT,CARELESS DRIVING
79653,ACCIDENT,FAILED TO STOP AT SIGNAL
79654,ACCIDENT,FOLLOWED TOO CLOSELY
79655,ACCIDENT,CARELESS DRIVING
79656,ACCIDENT,FOLLOWED TOO CLOSELY
91974,ACCIDENT,FAILED TO YIELD ROW
79657,POLICE,CARELESS DRIVING
79658,HIT & RUN,CARELESS DRIVING
79660,ACCIDENT,OTHER
79659,ACCIDENT,  
91975,ACCIDENT,FOLLOWED TOO CLOSELY
79743,ACCIDENT,FOLLOWED TOO CLOSELY
79748,ACCIDENT,CARELESS DRIVING
79744,ACCIDENT,OTHER
79742,ACCIDENT,FAILED TO YIELD ROW
92061,ACCIDENT,FAILED TO YIELD ROW
79745,ACCIDENT,FOLLOWED TOO CLOSELY
79749,ACCIDENT,CARELESS DRIVING
92062,HIT & RUN,OTHER
79750,ACCIDENT,CARELESS DRIVING
79682,HIT & RUN,CARELESS DRIVING
79751,HIT & RUN,FAILED TO YIELD ROW
79752,ACCIDENT,DISREGARDED OTHER DEVICE
79753,HIT & RUN,IMPROPER BACKING
79754,DUI/DUID,CARELESS DRIVING
92063,ACCIDENT,CARELESS DRIVING
79755,DUI/DUID,CARELESS DRIVING
79756,ACCIDENT,TURNED FROM WRONG LANE OR POSITION
79757,ACCIDENT,FOLLOWED TOO CLOSELY
79758,ACCIDENT,FAILED TO YIELD ROW
92064,ACCIDENT,DISREGARD STOP SIGN
79759,ACCIDENT,FOLLOWED TOO CLOSELY
79760,ACCIDENT,FOLLOWED TOO CLOSELY
79761,ACCIDENT,LANE VIOLATION
79762,ACCIDENT,FAILED TO YIELD ROW
79763,ACCIDENT,CARELESS DRIVING
79764,ACCIDENT,FAILED TO YIELD ROW
92065,HIT & RUN,OTHER
79766,ACCIDENT,OTHER
79765,ACCIDENT,OTHER
79767,ACCIDENT,FAILED TO YIELD ROW
92066,ACCIDENT,OTHER
79768,ACCIDENT,OTHER
79850,ACCIDENT,FOLLOWED TOO CLOSELY
79851,ACCIDENT,LANE VIOLATION
79852,ACCIDENT,CARELESS DRIVING
79853,ACCIDENT,FOLLOWED TOO CLOSELY
79854,ACCIDENT,IMPROPER PASSING ON RIGHT
79855,ACCIDENT,FOLLOWED TOO CLOSELY
79856,ACCIDENT,FOLLOWED TOO CLOSELY
92152,ACCIDENT,FAILED TO YIELD ROW
79857,ACCIDENT,CARELESS DRIVING
79858,ACCIDENT,FAILED TO YIELD ROW
79859,ACCIDENT,FOLLOWED TOO CLOSELY
79860,ACCIDENT,FAILED TO YIELD ROW
79861,HIT & RUN,FAILED TO YIELD ROW
92153,ACCIDENT,FOLLOWED TOO CLOSELY
79862,ACCIDENT,LANE VIOLATION
91386,ACCIDENT,FOLLOWED TOO CLOSELY
79864,HIT & RUN,LANE VIOLATION
79863,ACCIDENT,OTHER
79865,ACCIDENT,FAILED TO YIELD ROW
79866,ACCIDENT,LANE VIOLATION
92154,ACCIDENT,OTHER
79867,ACCIDENT,FAILED TO YIELD ROW
79869,HIT & RUN,CARELESS DRIVING
79868,HIT & RUN,  
92694,ACCIDENT,FAILED TO YIELD ROW
79870,ACCIDENT,CARELESS DRIVING
79958,HIT & RUN,CARELESS DRIVING
92155,ACCIDENT,CARELESS DRIVING
79871,ACCIDENT,LANE VIOLATION
79872,ACCIDENT,FAILED TO YIELD ROW
79873,ACCIDENT,CARELESS DRIVING
79874,ACCIDENT,FAILED TO YIELD ROW
92156,ACCIDENT,FOLLOWED TOO CLOSELY
79875,ACCIDENT,FOLLOWED TOO CLOSELY
79876,ACCIDENT,IMPROPER BACKING
79959,ACCIDENT,FAILED TO STOP AT SIGNAL
79960,ACCIDENT,FOLLOWED TOO CLOSELY
79961,ACCIDENT,OTHER
92173,SBI,CARELESS DRIVING
79962,HIT & RUN,CARELESS DRIVING
91387,ACCIDENT,FOLLOWED TOO CLOSELY
79963,ACCIDENT,FAILED TO YIELD ROW
79966,HIT & RUN,DISREGARD STOP SIGN
79964,ACCIDENT,FAILED TO STOP AT SIGNAL
79967,ACCIDENT,FOLLOWED TOO CLOSELY
96156,HIT & RUN,CARELESS DRIVING
78367,HIT & RUN,CARELESS DRIVING
92246,HIT & RUN,FAILED TO YIELD ROW
79968,HIT & RUN,  
79969,ACCIDENT,LANE VIOLATION
79970,HIT & RUN,LANE VIOLATION
79971,ACCIDENT,FOLLOWED TOO CLOSELY
79972,ACCIDENT,FAILED TO YIELD ROW
92247,ACCIDENT,  
79973,DUI/DUID,CARELESS DRIVING
79974,ACCIDENT,CARELESS DRIVING
